name,address,adminstaff,phonenumber,type
Potters Talent Agency,126-182 Ashwood Rd: Potters Bar: Hertfordshire EN6 2: UK,Megan Speegle:Daron Spilman:Leonel Striegel:Hubert Tesoro:Nathanial Pompey,(0111) 259-8052,All
Geordie Talent Inc,5-39 Lindfield Ave: Newcastle Upon Tyne NE5 3: UK,Jacquelynn Heroux:Mavis Marriner:Brynn Mathur:Lavinia Weinfeld:Len Manner:Elena Schepis,(0133) 535-3202,All
Carter-Smith Ltd,30-40 Devonshire Place Mews: Paddington: Greater London W1G 6: UK,Talitha Stelly:Susan Herrada:Sharmaine Korczynski:Willette Yeoman:Marietta Mccutchen:Renaldo Ehrhardt:Kenia Roope:Erich Eley,(0122) 454-1949,All
A La Mode Modelling,27-29 Princess Parc: Indian Queens: St Enoder: Cornwall TR9 6: UK,Phylicia Bridgers:Keeley Deal:Winnie Salzman,(0155) 171-5324,Models
Banding Together,Briardene: Rothwell: Leeds LS26 8: UK,Tressie Cranston:Alphonse Duggar:Zenobia Swanner:Lexie Wongus:Junko Vanwey,(0122) 844-9975,Bands
Ponsonby Smythe Talent,19-28 Llewellyn St: Aberdare: Rhondda Cynon Taff CF44 8: UK,Lasandra Puzo:Lucinda Crafts:Silvia Mayton:Aletha Stanphill:Burt Homme,(0144) 118-3101,All
Cooper Jones Ltd,27-35 Berl Ave: Linwood: Renfrewshire PA6 7: UK,Tiera Weatherholt:Mario Oren:Na Sideris:Felecia Mackay:Mackenzie Cunnington:Marc Antilla,(0133) 557-4966,All
The Does,12-74 Doe Bank Ln: Birmingham: Walsall B43 7: UK,Ulysses Geter:Yvonne Woodlee:Jerri Arreguin:Cruz Morejon:Bryant Waters:Ahmad Stickley,(0199) 476-8014,All
Sheldon Models,3-6 Sheldon Close: Clevedon: North Somerset BS21 6: UK,Sanjuana Tice:Kiana Hoos:Corey Scarlett:Olen Iler,(0111) 598-5739,Models
A Cut Above,22-52 Green Ln: Bromley: Greater London BR7 6: UK,Lucila Burn:Renata Smothers:Tiara Goodlow:Talia Liner:Alan Garner:Tiny Pearl,(0111) 572-7833,All
Harper Fring Peterson,1-77 Osborne Rd: Birmingham B21 9: UK,Geraldo Hernande:Emerson Abrev:Clora Frisbee:Many Reineke:Karyn Yoakum:Carri Jurica,(0144) 808-8749,All
Martin Modelling,2 Martin Way: Camberley: Surrey GU16 8: UK,Mickie Mcbryde:Corinna Duff:Lisandra Mahi:Chantelle Narvaez:Sylvia Caballero,(0199) 269-2841,Models
Queensbury Rules,75-83 Parkside Rd: Queensbury: Bradford BD5 8: UK,Manuela Wiener:Eustolia Frese:Narcisa Flegle:Fatimah Vallieres:Gaye Trammell,(0144) 409-1490,All
Notts Talent,1-15 Mill St: Clumber and Hardwick: Nottinghamshire S80 1: UK,Marisha Marak:Wilhemina Paff:Ligia Tinsley:Basil Rodriguez:Tarsha Cullum:Phillis Forrester:Kristen Dubose,(0111) 626-4598,All
The Earl Ltd,Earls Ct: Dunston: Wickham and Dunston: Gateshead NE83 7: UK,Paulita Ricca:Margart Reuss:Kyle Oliveria:Alyce Velez:Azzie Teston,(0144) 063-7039,All
Island Models,2 Graig Las: Llangefni: Isle of Anglesey LL77 7: UK,Olimpia Casas:Lavelle Castille:Etsuko Delorme:Denese Kral:Etha Phoenix:Linette Blauser,(0155) 086-8282,Models
Ford Modine Talent Agency,178-180 London Rd: Guildford: Surrey GU1 1: UK,Hai Mckibben:Stasia Gotham:Rochel Romines:Vita Frigo:Dakota Varano:Cara Kieser:Cheryle Whitby,(0122) 828-2181,All
Preston People,2-30 Hall Rd: Preston: Lancashire PR2 9: UK,Gretta Wigley:Augustus Heinen:Irmgard Culberson,(0111) 183-7811,All
Talent Incoporated,38-88 Hazelwood Ave: Byker: Newcastle Upon Tyne NE2 3: UK,Myrle Trautmann:Stephan Skillman:Laure Holscher:Earlean Cragle:Kristina Heston:Martha Egbert:Cami Loughlin,(0111) 756-8851,All
Galley Models,100 Galley Ln: Great Brickhill: Buckinghamshire MK17 9: UK,Juana Stratman:Keely Bolger:Tracie Whitsel:Yuette Koogler,(0111) 377-6503,Models
Clive Jones,Badgers Ct: Epsom: Surrey KT17 4: UK,Bernardine Rispoli:Ronda Stubbs:Bess Converse:Art Hemming:Lemuel Euler:Moshe Seaver,(0144) 216-4072,Bands
Bob Hambrook Talent,The Meadows: Church Stretton: Shropshire SY6 7: UK,Jenine Pancoast:Debi Broad:Ismael Surprenant:Antonina Mayle:Adrien Obando,(0155) 558-4702,All
Mullins and Robbins,305-327 Meltham Rd: Huddersfield: Kirklees HD4 7: UK,Gustavo Mclester:Diana Rolph:Sherita Sanda:Leandro Shriner:Jayme Vidrine:Danika Platero:Carlos Grim,(0133) 593-4452,All
Oxford Models,3-5 Stadhampton Rd: Drayton St Leonard: Drayton Saint Leonard: Oxfordshire OX10 7: UK,Hong Eisele:Mica Gupton:Rigoberto Neyman:Deloise Spraker:Jeanmarie Sippel:Ilene Goffney,(0111) 305-9083,Models
Quentin Cumberside Ltd,45-51 Sannox Dr: Ardrossan: North Ayrshire KA21 6: UK,Lynwood Terry:Inga Haire:Elmo Luhn:Debbi Murch:Brande Perla,(0155) 097-0702,All
